row,resid,question,original_response,nan_reason
1,(I experience communication apprehension),Q1,,Left blank / originally empty
2,(I consider myself somewhat calm and relaxed in conversations,Q1,,Left blank / originally empty
4,I like making friends and being around people,Q1,,Left blank / originally empty
6,(Note: I selected this option because while I am not typically hesitant to speak up in conversations,Q1,,Left blank / originally empty
7,(Note: I'll explain my reasoning below),Q1,,Left blank / originally empty
8,I chose option 68 because I'm someone who can be a bit reserved or introverted,Q1,,Left blank / originally empty
10,(I struggle a bit to make friends,Q1,,Left blank / originally empty
12,(I often find myself struggling to contribute during group discussions due to shyness or feeling overwhelmed,Q1,,Left blank / originally empty
13,(I sometimes get nervous and tense when engaging in group discussions with new people),Q1,,Left blank / originally empty
14,(This response suggests that you are somewhat relaxed when conversing with new people,Q1,,Left blank / originally empty
15,(I'm not too comfortable speaking up in conversations,Q1,,Left blank / originally empty
17,(Note: I chose this option because it reflects that participating in group discussions is not a significant aspect of my life,Q1,,Left blank / originally empty
19,I struggle with communication apprehension and often find it difficult to contribute in group discussions,Q1,,Left blank / originally empty
21,( Engaging in a group discussion with new people makes me tense and nervous ),Q1,,Left blank / originally empty
22,This response reflects my mixed feelings about being nervous when speaking with new acquaintances. On one hand,Q1,,Left blank / originally empty
23,(I consider myself to be someone who speaks up in conversations,Q1,,Left blank / originally empty
24,(This represents a moderate response - I feel somewhat relaxed when conversing with new acquaintances,Q1,,Left blank / originally empty
26,( I'm a social person who makes friends easily,Q1,,Left blank / originally empty
28,(I get anxious and nervous sometimes,Q1,,Left blank / originally empty
29,(I'm not entirely comfortable speaking up in group discussions,Q1,,Left blank / originally empty
1,(I experience communication apprehension),Q2,,Left blank / originally empty
2,(I consider myself somewhat calm and relaxed in conversations,Q2,,Left blank / originally empty
4,I like making friends and being around people,Q2,,Left blank / originally empty
6,(Note: I selected this option because while I am not typically hesitant to speak up in conversations,Q2,,Left blank / originally empty
7,(Note: I'll explain my reasoning below),Q2,,Left blank / originally empty
8,I chose option 68 because I'm someone who can be a bit reserved or introverted,Q2,,Left blank / originally empty
9,15dc14c0-2b01-4707-ab08-513113271c0d,Q2,,Left blank / originally empty
10,(I struggle a bit to make friends,Q2,,Left blank / originally empty
11,5fd4e1b1-5f11-4a98-8b1f-10e603939a5c,Q2,,Left blank / originally empty
12,(I often find myself struggling to contribute during group discussions due to shyness or feeling overwhelmed,Q2,,Left blank / originally empty
13,(I sometimes get nervous and tense when engaging in group discussions with new people),Q2,,Left blank / originally empty
14,(This response suggests that you are somewhat relaxed when conversing with new people,Q2,,Left blank / originally empty
15,(I'm not too comfortable speaking up in conversations,Q2,,Left blank / originally empty
16,5125daeb-6a49-4269-b67a-77b6b89269dd,Q2,,Left blank / originally empty
17,(Note: I chose this option because it reflects that participating in group discussions is not a significant aspect of my life,Q2,,Left blank / originally empty
18,31c4b532-8c2b-4b0b-8571-ed7bb11dcec8,Q2,,Left blank / originally empty
19,I struggle with communication apprehension and often find it difficult to contribute in group discussions,Q2,,Left blank / originally empty
21,( Engaging in a group discussion with new people makes me tense and nervous ),Q2,,Left blank / originally empty
22,This response reflects my mixed feelings about being nervous when speaking with new acquaintances. On one hand,Q2,,Left blank / originally empty
23,(I consider myself to be someone who speaks up in conversations,Q2,,Left blank / originally empty
24,(This represents a moderate response - I feel somewhat relaxed when conversing with new acquaintances,Q2,,Left blank / originally empty
26,( I'm a social person who makes friends easily,Q2,,Left blank / originally empty
28,(I get anxious and nervous sometimes,Q2,,Left blank / originally empty
29,(I'm not entirely comfortable speaking up in group discussions,Q2,,Left blank / originally empty
1,(I experience communication apprehension),Q3,,Left blank / originally empty
2,(I consider myself somewhat calm and relaxed in conversations,Q3,,Left blank / originally empty
3,4fb7a95f-1515-48bd-b722-01cf585b20bc,Q3,,Left blank / originally empty
4,I like making friends and being around people,Q3,,Left blank / originally empty
6,(Note: I selected this option because while I am not typically hesitant to speak up in conversations,Q3,,Left blank / originally empty
7,(Note: I'll explain my reasoning below),Q3,,Left blank / originally empty
8,I chose option 68 because I'm someone who can be a bit reserved or introverted,Q3,,Left blank / originally empty
9,15dc14c0-2b01-4707-ab08-513113271c0d,Q3,,Left blank / originally empty
10,(I struggle a bit to make friends,Q3,,Left blank / originally empty
11,5fd4e1b1-5f11-4a98-8b1f-10e603939a5c,Q3,,Left blank / originally empty
12,(I often find myself struggling to contribute during group discussions due to shyness or feeling overwhelmed,Q3,,Left blank / originally empty
13,(I sometimes get nervous and tense when engaging in group discussions with new people),Q3,,Left blank / originally empty
14,(This response suggests that you are somewhat relaxed when conversing with new people,Q3,,Left blank / originally empty
15,(I'm not too comfortable speaking up in conversations,Q3,,Left blank / originally empty
16,5125daeb-6a49-4269-b67a-77b6b89269dd,Q3,,Left blank / originally empty
17,(Note: I chose this option because it reflects that participating in group discussions is not a significant aspect of my life,Q3,,Left blank / originally empty
18,31c4b532-8c2b-4b0b-8571-ed7bb11dcec8,Q3,,Left blank / originally empty
19,I struggle with communication apprehension and often find it difficult to contribute in group discussions,Q3,,Left blank / originally empty
21,( Engaging in a group discussion with new people makes me tense and nervous ),Q3,,Left blank / originally empty
22,This response reflects my mixed feelings about being nervous when speaking with new acquaintances. On one hand,Q3,,Left blank / originally empty
23,(I consider myself to be someone who speaks up in conversations,Q3,,Left blank / originally empty
24,(This represents a moderate response - I feel somewhat relaxed when conversing with new acquaintances,Q3,,Left blank / originally empty
26,( I'm a social person who makes friends easily,Q3,,Left blank / originally empty
28,(I get anxious and nervous sometimes,Q3,,Left blank / originally empty
29,(I'm not entirely comfortable speaking up in group discussions,Q3,,Left blank / originally empty
1,(I experience communication apprehension),Q4,,Left blank / originally empty
2,(I consider myself somewhat calm and relaxed in conversations,Q4,,Left blank / originally empty
3,4fb7a95f-1515-48bd-b722-01cf585b20bc,Q4,,Left blank / originally empty
4,I like making friends and being around people,Q4,,Left blank / originally empty
6,(Note: I selected this option because while I am not typically hesitant to speak up in conversations,Q4,,Left blank / originally empty
7,(Note: I'll explain my reasoning below),Q4,,Left blank / originally empty
8,I chose option 68 because I'm someone who can be a bit reserved or introverted,Q4,,Left blank / originally empty
9,15dc14c0-2b01-4707-ab08-513113271c0d,Q4,,Left blank / originally empty
10,(I struggle a bit to make friends,Q4,,Left blank / originally empty
11,5fd4e1b1-5f11-4a98-8b1f-10e603939a5c,Q4,,Left blank / originally empty
12,(I often find myself struggling to contribute during group discussions due to shyness or feeling overwhelmed,Q4,,Left blank / originally empty
13,(I sometimes get nervous and tense when engaging in group discussions with new people),Q4,,Left blank / originally empty
14,(This response suggests that you are somewhat relaxed when conversing with new people,Q4,,Left blank / originally empty
15,(I'm not too comfortable speaking up in conversations,Q4,,Left blank / originally empty
16,5125daeb-6a49-4269-b67a-77b6b89269dd,Q4,,Left blank / originally empty
17,(Note: I chose this option because it reflects that participating in group discussions is not a significant aspect of my life,Q4,,Left blank / originally empty
18,31c4b532-8c2b-4b0b-8571-ed7bb11dcec8,Q4,,Left blank / originally empty
19,I struggle with communication apprehension and often find it difficult to contribute in group discussions,Q4,,Left blank / originally empty
21,( Engaging in a group discussion with new people makes me tense and nervous ),Q4,,Left blank / originally empty
22,This response reflects my mixed feelings about being nervous when speaking with new acquaintances. On one hand,Q4,,Left blank / originally empty
23,(I consider myself to be someone who speaks up in conversations,Q4,,Left blank / originally empty
24,(This represents a moderate response - I feel somewhat relaxed when conversing with new acquaintances,Q4,,Left blank / originally empty
26,( I'm a social person who makes friends easily,Q4,,Left blank / originally empty
27,29c51f6b-cb36-42f4-938b-c44a3856b956,Q4,,Left blank / originally empty
28,(I get anxious and nervous sometimes,Q4,,Left blank / originally empty
29,(I'm not entirely comfortable speaking up in group discussions,Q4,,Left blank / originally empty
1,(I experience communication apprehension),Q5,,Left blank / originally empty
2,(I consider myself somewhat calm and relaxed in conversations,Q5,,Left blank / originally empty
3,4fb7a95f-1515-48bd-b722-01cf585b20bc,Q5,,Left blank / originally empty
4,I like making friends and being around people,Q5,,Left blank / originally empty
6,(Note: I selected this option because while I am not typically hesitant to speak up in conversations,Q5,,Left blank / originally empty
7,(Note: I'll explain my reasoning below),Q5,,Left blank / originally empty
8,I chose option 68 because I'm someone who can be a bit reserved or introverted,Q5,,Left blank / originally empty
9,15dc14c0-2b01-4707-ab08-513113271c0d,Q5,,Left blank / originally empty
10,(I struggle a bit to make friends,Q5,,Left blank / originally empty
11,5fd4e1b1-5f11-4a98-8b1f-10e603939a5c,Q5,,Left blank / originally empty
12,(I often find myself struggling to contribute during group discussions due to shyness or feeling overwhelmed,Q5,,Left blank / originally empty
13,(I sometimes get nervous and tense when engaging in group discussions with new people),Q5,,Left blank / originally empty
14,(This response suggests that you are somewhat relaxed when conversing with new people,Q5,,Left blank / originally empty
15,(I'm not too comfortable speaking up in conversations,Q5,,Left blank / originally empty
16,5125daeb-6a49-4269-b67a-77b6b89269dd,Q5,,Left blank / originally empty
17,(Note: I chose this option because it reflects that participating in group discussions is not a significant aspect of my life,Q5,,Left blank / originally empty
18,31c4b532-8c2b-4b0b-8571-ed7bb11dcec8,Q5,,Left blank / originally empty
19,I struggle with communication apprehension and often find it difficult to contribute in group discussions,Q5,,Left blank / originally empty
21,( Engaging in a group discussion with new people makes me tense and nervous ),Q5,,Left blank / originally empty
22,This response reflects my mixed feelings about being nervous when speaking with new acquaintances. On one hand,Q5,,Left blank / originally empty
23,(I consider myself to be someone who speaks up in conversations,Q5,,Left blank / originally empty
24,(This represents a moderate response - I feel somewhat relaxed when conversing with new acquaintances,Q5,,Left blank / originally empty
26,( I'm a social person who makes friends easily,Q5,,Left blank / originally empty
27,29c51f6b-cb36-42f4-938b-c44a3856b956,Q5,,Left blank / originally empty
28,(I get anxious and nervous sometimes,Q5,,Left blank / originally empty
29,(I'm not entirely comfortable speaking up in group discussions,Q5,,Left blank / originally empty
1,(I experience communication apprehension),Q6,,Left blank / originally empty
2,(I consider myself somewhat calm and relaxed in conversations,Q6,,Left blank / originally empty
3,4fb7a95f-1515-48bd-b722-01cf585b20bc,Q6,,Left blank / originally empty
4,I like making friends and being around people,Q6,,Left blank / originally empty
6,(Note: I selected this option because while I am not typically hesitant to speak up in conversations,Q6,,Left blank / originally empty
7,(Note: I'll explain my reasoning below),Q6,,Left blank / originally empty
8,I chose option 68 because I'm someone who can be a bit reserved or introverted,Q6,,Left blank / originally empty
9,15dc14c0-2b01-4707-ab08-513113271c0d,Q6,,Left blank / originally empty
10,(I struggle a bit to make friends,Q6,,Left blank / originally empty
11,5fd4e1b1-5f11-4a98-8b1f-10e603939a5c,Q6,,Left blank / originally empty
12,(I often find myself struggling to contribute during group discussions due to shyness or feeling overwhelmed,Q6,,Left blank / originally empty
13,(I sometimes get nervous and tense when engaging in group discussions with new people),Q6,,Left blank / originally empty
14,(This response suggests that you are somewhat relaxed when conversing with new people,Q6,,Left blank / originally empty
15,(I'm not too comfortable speaking up in conversations,Q6,,Left blank / originally empty
16,5125daeb-6a49-4269-b67a-77b6b89269dd,Q6,,Left blank / originally empty
17,(Note: I chose this option because it reflects that participating in group discussions is not a significant aspect of my life,Q6,,Left blank / originally empty
18,31c4b532-8c2b-4b0b-8571-ed7bb11dcec8,Q6,,Left blank / originally empty
19,I struggle with communication apprehension and often find it difficult to contribute in group discussions,Q6,,Left blank / originally empty
20,6630f1a3-6b90-48db-8d24-3772a4e980f2,Q6,,Left blank / originally empty
21,( Engaging in a group discussion with new people makes me tense and nervous ),Q6,,Left blank / originally empty
22,This response reflects my mixed feelings about being nervous when speaking with new acquaintances. On one hand,Q6,,Left blank / originally empty
23,(I consider myself to be someone who speaks up in conversations,Q6,,Left blank / originally empty
24,(This represents a moderate response - I feel somewhat relaxed when conversing with new acquaintances,Q6,,Left blank / originally empty
26,( I'm a social person who makes friends easily,Q6,,Left blank / originally empty
27,29c51f6b-cb36-42f4-938b-c44a3856b956,Q6,,Left blank / originally empty
28,(I get anxious and nervous sometimes,Q6,,Left blank / originally empty
29,(I'm not entirely comfortable speaking up in group discussions,Q6,,Left blank / originally empty
1,(I experience communication apprehension),Q7,,Left blank / originally empty
2,(I consider myself somewhat calm and relaxed in conversations,Q7,,Left blank / originally empty
3,4fb7a95f-1515-48bd-b722-01cf585b20bc,Q7,,Left blank / originally empty
4,I like making friends and being around people,Q7,,Left blank / originally empty
6,(Note: I selected this option because while I am not typically hesitant to speak up in conversations,Q7,,Left blank / originally empty
7,(Note: I'll explain my reasoning below),Q7,,Left blank / originally empty
8,I chose option 68 because I'm someone who can be a bit reserved or introverted,Q7,,Left blank / originally empty
9,15dc14c0-2b01-4707-ab08-513113271c0d,Q7,,Left blank / originally empty
10,(I struggle a bit to make friends,Q7,,Left blank / originally empty
11,5fd4e1b1-5f11-4a98-8b1f-10e603939a5c,Q7,,Left blank / originally empty
12,(I often find myself struggling to contribute during group discussions due to shyness or feeling overwhelmed,Q7,,Left blank / originally empty
13,(I sometimes get nervous and tense when engaging in group discussions with new people),Q7,,Left blank / originally empty
14,(This response suggests that you are somewhat relaxed when conversing with new people,Q7,,Left blank / originally empty
15,(I'm not too comfortable speaking up in conversations,Q7,,Left blank / originally empty
16,5125daeb-6a49-4269-b67a-77b6b89269dd,Q7,,Left blank / originally empty
17,(Note: I chose this option because it reflects that participating in group discussions is not a significant aspect of my life,Q7,,Left blank / originally empty
18,31c4b532-8c2b-4b0b-8571-ed7bb11dcec8,Q7,,Left blank / originally empty
19,I struggle with communication apprehension and often find it difficult to contribute in group discussions,Q7,,Left blank / originally empty
20,6630f1a3-6b90-48db-8d24-3772a4e980f2,Q7,,Left blank / originally empty
21,( Engaging in a group discussion with new people makes me tense and nervous ),Q7,,Left blank / originally empty
22,This response reflects my mixed feelings about being nervous when speaking with new acquaintances. On one hand,Q7,,Left blank / originally empty
23,(I consider myself to be someone who speaks up in conversations,Q7,,Left blank / originally empty
24,(This represents a moderate response - I feel somewhat relaxed when conversing with new acquaintances,Q7,,Left blank / originally empty
26,( I'm a social person who makes friends easily,Q7,,Left blank / originally empty
