resid,question_id,scale,original_response,final_response,validated,action_taken,reverse_coded
61aa80a6-f88f-4276-b0f5-c1d68d45017c,prca_1,likert5,4,4,,not_checked,0
61aa80a6-f88f-4276-b0f5-c1d68d45017c,prca_2,likert5,2,2,,not_checked,0
61aa80a6-f88f-4276-b0f5-c1d68d45017c,prca_3,likert5,5,5,,not_checked,0
61aa80a6-f88f-4276-b0f5-c1d68d45017c,prca_4,likert5,2,2,,not_checked,0
61aa80a6-f88f-4276-b0f5-c1d68d45017c,prca_5,likert5,5,5,,not_checked,0
61aa80a6-f88f-4276-b0f5-c1d68d45017c,prca_6,likert5,3,3,,not_checked,0
61aa80a6-f88f-4276-b0f5-c1d68d45017c,prca_7,likert5,5,5,,not_checked,0
61aa80a6-f88f-4276-b0f5-c1d68d45017c,prca_8,likert5,2,2,,not_checked,0
61aa80a6-f88f-4276-b0f5-c1d68d45017c,prca_9,likert5,4,4,,not_checked,0
61aa80a6-f88f-4276-b0f5-c1d68d45017c,prca_10,likert5,3,3,,not_checked,0
61aa80a6-f88f-4276-b0f5-c1d68d45017c,prca_11,likert5,2,2,,not_checked,0
61aa80a6-f88f-4276-b0f5-c1d68d45017c,prca_12,likert5,4,4,,not_checked,0
52bc22c2-b0d2-4e26-b1b7-2854e4a0d926,prca_1,likert5,4,4,,not_checked,0
52bc22c2-b0d2-4e26-b1b7-2854e4a0d926,prca_2,likert5,2,2,,not_checked,0
52bc22c2-b0d2-4e26-b1b7-2854e4a0d926,prca_3,likert5,5,5,,not_checked,0
52bc22c2-b0d2-4e26-b1b7-2854e4a0d926,prca_4,likert5,2,2,,not_checked,0
52bc22c2-b0d2-4e26-b1b7-2854e4a0d926,prca_5,likert5,4,4,,not_checked,0
52bc22c2-b0d2-4e26-b1b7-2854e4a0d926,prca_6,likert5,2,2,,not_checked,0
52bc22c2-b0d2-4e26-b1b7-2854e4a0d926,prca_7,likert5,4,4,,not_checked,0
52bc22c2-b0d2-4e26-b1b7-2854e4a0d926,prca_8,likert5,2,2,,not_checked,0
52bc22c2-b0d2-4e26-b1b7-2854e4a0d926,prca_9,likert5,5,5,,not_checked,0
52bc22c2-b0d2-4e26-b1b7-2854e4a0d926,prca_10,likert5,2,2,,not_checked,0
52bc22c2-b0d2-4e26-b1b7-2854e4a0d926,prca_11,likert5,2,2,,not_checked,0
52bc22c2-b0d2-4e26-b1b7-2854e4a0d926,prca_12,likert5,4,4,,not_checked,0
